rank,sweep_stage,hostile_rank,title,year,venue,authors,doi,url,openalex_id,cited_by_count,query,relevance_score,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
146,landscape_1000;serious_skim_300;deep_read_240,,Physical Modeling and Data-Driven Hybrid Control for Quadrotor-Robotic-Arm Cable-Suspended Payload Systems,2026,Drones,Lu Lu; Qihua Xiao; Shikang Zhou; Xinhai Wang; Yunhe Meng,https://doi.org/10.3390/drones10010051,https://doi.org/10.3390/drones10010051,https://openalex.org/W7122445999,3,robot manipulation actuator limits torque saturation,36.015,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"This work investigates a quadrotor equipped with dual-stage robotic arms and a cable-suspended payload, developing a unified methodology for modeling and control. A 10-DOF Lagrangian model captures vehicle-arm-payload coupling through structured mass matrices. A hierarchical control architecture combines SO(3)-based attitude regulation with cooperative swing compensation via partial feedback linearization, exploiting coupling matrices to distribute control between platform and arm actuators. Model accuracy is enhanced through physics-informed s"
147,landscape_1000;serious_skim_300;deep_read_240,,Legs as Manipulator: Pushing Quadrupedal Agility Beyond Locomotion,2023,arXiv (Cornell University),Xuxin Cheng; Ashish Kumar; Deepak Pathak,https://doi.org/10.48550/arxiv.2303.11330,https://doi.org/10.48550/arxiv.2303.11330,https://openalex.org/W4353007652,2,nonprehensile manipulation pushing control,36.010,Plan and control object motion through intermittent or sticking contact.,"Quasi-static pushing models, motion cones, contact-mode planning, or learned push dynamics.",The robot can realize planned pusher motions equally well in each direction.,The robot-side actuator cone behind the contact-mode model.,A push mode may be geometrically valid but actuator-directionally brittle.,Novelty of contact-mode or pushing mechanics alone.,Jointly selecting contact/IK primitive and signed actuator cone feasibility.,"Locomotion has seen dramatic progress for walking or running across challenging terrains. However, robotic quadrupeds are still far behind their biological counterparts, such as dogs, which display a variety of agile skills and can use the legs beyond locomotion to perform several basic manipulation tasks like interacting with objects and climbing. In this paper, we take a step towards bridging this gap by training quadruped robots not only to walk but also to use the front legs to climb walls, press buttons, and perform object interaction in t"
148,landscape_1000;serious_skim_300;deep_read_240,,Haptic Shared Control of a Pair of Microrobots for Telemanipulation using Constrained Optimization,2025,,Leon Raphalen; Marco Ferro; Sarthak Misra; Paolo Robuffo Giordano; Claudio Pacchierotti,https://doi.org/10.1109/iros60139.2025.11247670,https://doi.org/10.1109/iros60139.2025.11247670,https://openalex.org/W4415194463,1,nonprehensile manipulation pushing control,36.005,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Microrobotics implies actuation-related constraints that make safe telemanipulation particularly challenging. We present a haptic shared control system for electromagnetic-based telemanipulation of a pair of microrobots using a constrained optimization framework. Our contributions include: (1) a Quadratic Programming formulation with Control Lyapunov Functions and Control Barrier Functions, for safe and stable navigation in cluttered environments; (2) a shared control architecture, combining a haptic interface and simulation environment, to tel"
149,landscape_1000;serious_skim_300;deep_read_240,,One-Shot Transfer of Long-Horizon Extrinsic Manipulation Through Contact Retargeting,2024,arXiv (Cornell University),Albert Wu; Ruocheng Wang; Sirui Chen; Clemens Eppner; C. Karen Liu,https://doi.org/10.48550/arxiv.2404.07468,https://doi.org/10.48550/arxiv.2404.07468,https://openalex.org/W4394780997,0,nonprehensile manipulation pushing control,36.000,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Extrinsic manipulation, the use of environment contacts to achieve manipulation objectives, enables strategies that are otherwise impossible with a parallel jaw gripper. However, orchestrating a long-horizon sequence of contact interactions between the robot, object, and environment is notoriously challenging due to the scene diversity, large action space, and difficult contact dynamics. We observe that most extrinsic manipulation are combinations of short-horizon primitives, each of which depend strongly on initializing from a desirable contac"
150,landscape_1000;serious_skim_300;deep_read_240,,Collision-Inclusive Manipulation Planning for Occluded Object Grasping via Compliant Robot Motions,2024,arXiv (Cornell University),Kejia Ren; Gaotian Wang; Andrew S. Morgan; Kaiyu Hang,https://doi.org/10.48550/arxiv.2412.06983,https://doi.org/10.48550/arxiv.2412.06983,https://openalex.org/W4405254771,0,nonprehensile manipulation pushing control,36.000,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Robotic manipulation research has investigated contact-rich problems and strategies that require robots to intentionally collide with their environment, to accomplish tasks that cannot be handled by traditional collision-free solutions. By enabling compliant robot motions, collisions between the robot and its environment become more tolerable and can thus be exploited, but more physical uncertainties are introduced. To address contact-rich problems such as occluded object grasping while handling the involved uncertainties, we propose a collisio"
151,landscape_1000;serious_skim_300;deep_read_240,,Switching control of underactuated multi-channel systems with input constraints for cooperative manipulation,2025,arXiv (Cornell University),"Lee, Dongjae; Dimarogonas, Dimos V.; Kim, H. Jin",https://doi.org/10.48550/arxiv.2511.22810,https://doi.org/10.48550/arxiv.2511.22810,https://openalex.org/W7108214461,0,nonprehensile manipulation pushing control,36.000,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"This work presents an event-triggered switching control framework for a class of nonlinear underactuated multi-channel systems with input constraints. These systems are inspired by cooperative manipulation tasks involving underactuation, where multiple underactuated agents collaboratively push or pull an object to a target pose. Unlike existing approaches for multi-channel systems, our method addresses underactuation and the potential loss of controllability by additionally addressing channel assignment of agents. To simultaneously account for "
152,landscape_1000;serious_skim_300;deep_read_240,,Switching control of underactuated multi-channel systems with input constraints for cooperative manipulation,2025,ArXiv.org,"Lee, Dongjae; Dimarogonas, Dimos V.; Kim, H. Jin",,https://openalex.org/W7108247871,https://openalex.org/W7108247871,0,nonprehensile manipulation pushing control,36.000,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"This work presents an event-triggered switching control framework for a class of nonlinear underactuated multi-channel systems with input constraints. These systems are inspired by cooperative manipulation tasks involving underactuation, where multiple underactuated agents collaboratively push or pull an object to a target pose. Unlike existing approaches for multi-channel systems, our method addresses underactuation and the potential loss of controllability by additionally addressing channel assignment of agents. To simultaneously account for "
153,landscape_1000;serious_skim_300;deep_read_240,,Switching Control of Underactuated Multichannel Systems With Input Constraints for Cooperative Manipulation,2026,IEEE Transactions on Control Systems Technology,Dongjae Lee; Dimos V. Dimarogonas; Hyoun Jin Kim,https://doi.org/10.1109/tcst.2026.3673874,https://doi.org/10.1109/tcst.2026.3673874,https://openalex.org/W7147608335,0,nonprehensile manipulation pushing control,36.000,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"This work presents an event-triggered switching control framework for a class of nonlinear underactuated multichannel systems with input constraints. These systems are inspired by cooperative manipulation tasks involving underactuation, where multiple underactuated agents collaboratively push or pull an object to a target pose. Unlike existing approaches for multichannel systems, our method addresses underactuation and the potential loss of controllability by additionally addressing channel assignment of agents. To simultaneously account for ch"
154,landscape_1000;serious_skim_300;deep_read_240,,Spectral Decomposition of Inverse Dynamics for Fast Exploration in Model-Based Manipulation,2026,arXiv (Cornell University),Solvin Sigurdson; Benjamin Riviere; Joel W. Burdick,,https://openalex.org/W7148175913,https://openalex.org/W7148175913,0,nonprehensile manipulation pushing control,36.000,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Planning long duration robotic manipulation sequences is challenging because of the complexity of exploring feasible trajectories through nonlinear contact dynamics and many contact modes. Moreover, this complexity grows with the problem's horizon length. We propose a search tree method that generates trajectories using the spectral decomposition of the inverse dynamics equation. This equation maps actuator displacement to object displacement, and its spectrum is efficient for exploration because its components are orthogonal and they approxima"
155,landscape_1000;serious_skim_300;deep_read_240,,"A Dexterous, Glove-Based Teleoperable Low-Power Soft Robotic Arm for Delicate Deep-Sea Biological Exploration",2018,Scientific Reports,Brennan Phillips; Kaitlyn P. Becker; Shunichi Kurumaya; Kevin C. Galloway; Griffin Whittredge; Daniel M. Vogt; et al.,https://doi.org/10.1038/s41598-018-33138-y,https://doi.org/10.1038/s41598-018-33138-y,https://openalex.org/W2893780659,164,robot manipulation underactuated control,35.820,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Modern marine biologists seeking to study or interact with deep-sea organisms are confronted with few options beyond industrial robotic arms, claws, and suction samplers. This limits biological interactions to a subset of ""rugged"" and mostly immotile fauna. As the deep sea is one of the most biologically diverse and least studied ecosystems on the planet, there is much room for innovation in facilitating delicate interactions with a multitude of organisms. The biodiversity and physiology of shallow marine systems, such as coral reefs, are commo"
156,landscape_1000;serious_skim_300;deep_read_240,,ADD,2020,ACM Transactions on Graphics,Moritz Geilinger; David Hahn; Jonas Zehnder; Moritz Bächer; Bernhard Thomaszewski; Stelian Coros,https://doi.org/10.1145/3414685.3417766,https://doi.org/10.1145/3414685.3417766,https://openalex.org/W3109952375,144,robust robot manipulation torque limits,35.720,"Learn manipulation behavior from data, rewards, demonstrations, or interaction.","Neural policies, imitation, reinforcement learning, visuomotor learning, or learned action models.",The action space can remain the conventional joint/cartesian command vector.,The controller interface and the semantics of positive and negative actuator commands.,Policies that look robust in aggregate but fail on direction-specific weak actions.,Novelty of learning a manipulation policy under dynamics variation.,A non-learning action structure that makes actuator asymmetry explicit before data scale enters.,"We present a differentiable dynamics solver that is able to handle frictional contact for rigid and deformable objects within a unified framework. Through a principled mollification of normal and tangential contact forces, our method circumvents the main difficulties inherent to the non-smooth nature of frictional contact. We combine this new contact model with fully-implicit time integration to obtain a robust and efficient dynamics solver that is analytically differentiable. In conjunction with adjoint sensitivity analysis, our formulation en"
157,landscape_1000;serious_skim_300;deep_read_240,,Nonparametric Online Learning Control for Soft Continuum Robot: An Enabling Technique for Effective Endoscopic Navigation,2017,Soft Robotics,Kit-Hang Lee; Denny K.C. Fu; Martin C. W. Leong; Marco C. K. Chow; Hing-Choi Fu; Kaspar Althoefer; et al.,https://doi.org/10.1089/soro.2016.0065,https://doi.org/10.1089/soro.2016.0065,https://openalex.org/W2745494968,126,quasi static pushing robot manipulation,35.630,Make contact-rich manipulation stable and compliant under uncertain contacts.,"Impedance/admittance control, force feedback, or variable compliance.",The commanded wrench/velocity is realizable symmetrically enough by the actuators.,Directional actuator authority and mode-dependent actuation costs.,Contact strategies that become unstable because one corrective direction is weaker than its opposite.,Novelty of using compliant feedback for manipulation.,A signed feasibility layer that tells compliance policies which corrections are physically cheap.,"Bioinspired robotic structures comprising soft actuation units have attracted increasing research interest. Taking advantage of its inherent compliance, soft robots can assure safe interaction with external environments, provided that precise and effective manipulation could be achieved. Endoscopy is a typical application. However, previous model-based control approaches often require simplified geometric assumptions on the soft manipulator, but which could be very inaccurate in the presence of unmodeled external interaction forces. In this stu"
158,landscape_1000;serious_skim_300;deep_read_240,,An Improved Neural Network Algorithm to Efficiently Track Various Trajectories of Robot Manipulator Arms,2021,IEEE Access,Mahmoud Elsisi; Karar Mahmoud; Matti Lehtonen; Mohamed M. F. Darwish,https://doi.org/10.1109/access.2021.3051807,https://doi.org/10.1109/access.2021.3051807,https://openalex.org/W3118511128,112,robust robot manipulation torque limits,35.560,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"The tuning of the robot actuator represents many challenges to follow a predefined trajectory on account of the uncertainties of parameters and the model nonlinearity. Furthermore, the controller gains require proper optimization to achieve good performance. In this paper, the use of a modified neural network algorithm (MNNA) is proposed as a novel adaptive tuning algorithm to optimize the controller gains. Furthermore, a new mathematical modulation is introduced to promote the exploration manner of the NNA without initial parameters. Specifica"
159,landscape_1000;serious_skim_300;deep_read_240,,An Origami-Inspired Reconfigurable Suction Gripper for Picking Objects With Variable Shape and Size,2018,IEEE Robotics and Automation Letters,Zhenishbek Zhakypov; Florian Heremans; Aude Billard; Jamie Paik,https://doi.org/10.1109/lra.2018.2847403,https://doi.org/10.1109/lra.2018.2847403,https://openalex.org/W2808508330,108,robot manipulation underactuated control,35.540,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"Gripper adaptability to handle objects of different shape and size brings high flexibility to manipulation. Gripping flat, round, or narrow objects poses challenges to even the most sophisticated robotic grippers. Among various gripper technologies, the vacuum suction grippers provide design simplicity, yet versatility at low cost; however, their application is limited to their fixed shape and size. Here, we present an origami-inspired reconfigurable suction gripper to address adaptability with robotic suction grippers. Constructed from rigid a"
160,landscape_1000;serious_skim_300;deep_read_240,,An Adaptive Backstepping Nonsingular Fast Terminal Sliding Mode Control for Robust Fault Tolerant Control of Robot Manipulators,2018,IEEE Transactions on Systems Man and Cybernetics Systems,Mien Van; Michalis Mavrovouniotis; Shuzhi Sam Ge,https://doi.org/10.1109/tsmc.2017.2782246,https://doi.org/10.1109/tsmc.2017.2782246,https://openalex.org/W2789897185,465,robot manipulator actuator fault tolerant control,35.325,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This paper develops a novel control methodology for tracking control of robot manipulators based on a novel adaptive backstepping nonsingular fast terminal sliding mode control (ABNFTSMC). In this approach, a novel backstepping nonsingular fast terminal sliding mode controller (BNFTSMC) is developed based on an integration of integral nonsingular fast terminal sliding mode surface and a backstepping control strategy. The benefits of this approach are that the proposed controller can preserve the merits of the integral nonsingular fast terminal "
161,landscape_1000;serious_skim_300;deep_read_240,,Adaptive FIT-SMC Approach for an Anthropomorphic Manipulator With Robust Exact Differentiator and Neural Network-Based Friction Compensation,2022,IEEE Access,Khurram Ali; Safeer Ullah; Adeel Mehmood; Hala Mostafa; Mohamed Marey; Jamshed Iqbal,https://doi.org/10.1109/access.2021.3139041,https://doi.org/10.1109/access.2021.3139041,https://openalex.org/W4206224131,60,robot manipulator actuator fault tolerant control,35.300,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"In robotic manipulators, feedback control of nonlinear systems with fast finite-time convergence is desirable. However, because of the parametric and model uncertainties, the robust control and tuning of the robotic manipulators pose many challenges related to the trajectory tracking of the robotic system. This research proposes a state-of-the-art control algorithm, which is the combination of fast integral terminal sliding mode control (FIT-SMC), robust exact differentiator (RED) observer, and feedforward neural network (FFNN) based estimator."
162,landscape_1000;serious_skim_300;deep_read_240,,An End-to-End Differentiable Framework for Contact-Aware Robot Design,2021,,Jie Xu; Tao Chen; Lara Zlokapa; Michael Foshey; Wojciech Matusik; Shinjiro Sueda; et al.,https://doi.org/10.15607/rss.2021.xvii.008,https://doi.org/10.15607/rss.2021.xvii.008,https://openalex.org/W3174011998,58,robot manipulation underactuated control,35.290,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"The current dominant paradigm for robotic manipulation involves two separate stages: manipulator design and control. Because the robot's morphology and how it can be controlled are intimately linked, joint optimization of design and control can significantly improve performance. Existing methods for co-optimization are limited and fail to explore a rich space of designs. The primary reason is the trade-off between the complexity of designs that is necessary for contact-rich tasks against the practical constraints of manufacturing, optimization,"
163,landscape_1000;serious_skim_300;deep_read_240,,,0,Bristol Research (University of Bristol),John W. Lloyd,,https://openalex.org/W3198507954,https://openalex.org/W3198507954,57,nonprehensile manipulation pushing control,35.285,Plan and control object motion through intermittent or sticking contact.,"Quasi-static pushing models, motion cones, contact-mode planning, or learned push dynamics.",The robot can realize planned pusher motions equally well in each direction.,The robot-side actuator cone behind the contact-mode model.,A push mode may be geometrically valid but actuator-directionally brittle.,Novelty of contact-mode or pushing mechanics alone.,Jointly selecting contact/IK primitive and signed actuator cone feasibility.,"In robots, nonprehensile manipulation operations such as pushing are a useful way of moving large, heavy, or unwieldy objects, moving multiple objects at once, or reducing uncertainty in the location or pose of objects. In this study, we propose a reactive and adaptive method for robotic pushing that uses rich feedback from a high-resolution optical tactile sensor to control push movements instead of relying on analytical or data-driven models of push interactions. Specifically, we use goal-driven tactile exploration to actively search for stab"
164,landscape_1000;serious_skim_300;deep_read_240,,Amphibious Transport of Fluids and Solids by Soft Magnetic Carpets,2021,Advanced Science,Ahmet F. Demirörs; Sümeyye Aykut; Sophia Ganzeboom; Yuki A. Meier; Robert Hardeman; Joost de Graaf; et al.,https://doi.org/10.1002/advs.202102510,https://doi.org/10.1002/advs.202102510,https://openalex.org/W3194701314,51,robot manipulation actuator asymmetry,35.255,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"One of the major challenges in modern robotics is controlling micromanipulation by active and adaptive materials. In the respiratory system, such actuation enables pathogen clearance by means of motile cilia. While various types of artificial cilia have been engineered recently, they often involve complex manufacturing protocols and focus on transporting liquids only. Here, soft magnetic carpets are created via an easy self-assembly route based on the Rosensweig instability. These carpets can transport not only liquids but also solid objects th"
165,landscape_1000;serious_skim_300;deep_read_240,,Snake Robots for Surgical Applications: A Review,2022,Robotics,Jenna Seetohul; Mahmood Shafiee,https://doi.org/10.3390/robotics11030057,https://doi.org/10.3390/robotics11030057,https://openalex.org/W4229059846,47,robot manipulator actuator fault tolerant control,35.235,"Learn manipulation behavior from data, rewards, demonstrations, or interaction.","Neural policies, imitation, reinforcement learning, visuomotor learning, or learned action models.",The action space can remain the conventional joint/cartesian command vector.,The controller interface and the semantics of positive and negative actuator commands.,Policies that look robust in aggregate but fail on direction-specific weak actions.,Novelty of learning a manipulation policy under dynamics variation.,A non-learning action structure that makes actuator asymmetry explicit before data scale enters.,"Although substantial advancements have been achieved in robot-assisted surgery, the blueprint to existing snake robotics predominantly focuses on the preliminary structural design, control, and human–robot interfaces, with features which have not been particularly explored in the literature. This paper aims to conduct a review of planning and operation concepts of hyper-redundant serpentine robots for surgical use, as well as any future challenges and solutions for better manipulation. Current researchers in the field of the manufacture and nav"
166,landscape_1000;serious_skim_300;deep_read_240,,Human–Machine Shared Control for Path Following Considering Driver Fatigue Characteristics,2024,IEEE Transactions on Intelligent Transportation Systems,Zhenwu Fang; Jinxiang Wang; Zejiang Wang; Jinxin Chen; Guodong Yin; Hui Zhang,https://doi.org/10.1109/tits.2023.3347439,https://doi.org/10.1109/tits.2023.3347439,https://openalex.org/W4390905338,46,robot manipulator actuator fault tolerant control,35.230,"Control manipulators while respecting torque, velocity, or input constraints.","Constrained optimization, model predictive control, anti-windup, or control allocation.",Limits are usually symmetric boxes or scalar magnitudes; the task-level action basis is already appropriate.,"Actuator coordinates, contact primitive set, and sign-specific effort margins.",Directional limits that make one branch/contact primitive safer than another for the same object motion.,Novelty of merely adding actuator limits to a controller.,A policy representation where signed actuation cones choose the manipulation primitive itself.,"Fatigue driving has been regarded as one of the most important factors that cause traffic accidents. This paper proposes a robust human-machine shared control strategy to improve the vehicle performance for different driver fatigue states. Firstly, the time-varying driver steering model is proposed to address the model mismatch caused by fatigue driving. And the driver fatigue evaluation system is established based on facial features to quantify driver fatigue levels. Based on the quantified fatigue levels, a novel strategy for allocating autho"
167,landscape_1000;serious_skim_300;deep_read_240,,A New Active Fault Tolerant Control System: Predictive Online Fault Estimation,2021,IEEE Access,Robab Ebrahimi Bavili; Ardashir Mohammadzadeh; Jafar Tavoosi; Saleh Mobayen; Wudhichai Assawinchaichote; Jihad Asad; et al.,https://doi.org/10.1109/access.2021.3107282,https://doi.org/10.1109/access.2021.3107282,https://openalex.org/W3195191863,30,robot manipulator actuator fault tolerant control,35.150,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This study presents a new approach for active fault-tolerant controller (FTC) design for constrained nonlinear multi-variable systems. The proposed approach utilize the nonlinear model predictive controller (NMPC) and fault estimation method which is on basis of extended kalman filters (EKFs). The deficiency of actuators and sensors and also the plant states measurement errors are estimated by the suggested approach. A supervisor unit using the fault information and fault modeling per sampling time, corrects the predictor model of the controlle"
168,landscape_1000;serious_skim_300;deep_read_240,,On Alternative Uses of Structural Compliance for the Development of Adaptive Robot Grippers and Hands,2019,Frontiers in Neurorobotics,Che-Ming Chang; Lucas Gerez; Nathan Elangovan; Agisilaos G. Zisimatos; Minas Liarokapis,https://doi.org/10.3389/fnbot.2019.00091,https://doi.org/10.3389/fnbot.2019.00091,https://openalex.org/W2981497040,30,robot manipulation underactuated control,35.150,Make contact-rich manipulation stable and compliant under uncertain contacts.,"Impedance/admittance control, force feedback, or variable compliance.",The commanded wrench/velocity is realizable symmetrically enough by the actuators.,Directional actuator authority and mode-dependent actuation costs.,Contact strategies that become unstable because one corrective direction is weaker than its opposite.,Novelty of using compliant feedback for manipulation.,A signed feasibility layer that tells compliance policies which corrections are physically cheap.,"Adaptive robot hands are typically created by introducing structural compliance either in their joints (e.g., implementation of flexures joints) or in their finger-pads. In this paper, we present a series of alternative uses of structural compliance for the development of simple, adaptive, compliant and/or under-actuated robot grippers and hands that can efficiently and robustly execute a variety of grasping and dexterous, in-hand manipulation tasks. The proposed designs utilize only one actuator per finger to control multiple degrees of freedo"
169,landscape_1000;serious_skim_300;deep_read_240,,On the Design of Underactuated Finger Mechanisms for Robotic Hands,2011,InTech eBooks,Pierluigi Rea,https://doi.org/10.5772/24304,https://doi.org/10.5772/24304,https://openalex.org/W1513477325,26,robot manipulation underactuated control,35.130,"Improve robot control, planning, or modeling under physical uncertainty.","Model-based control, planning, estimation, or learning depending on the paper.","Actuator authority is either nominal, symmetric, or hidden inside an uncertainty set.","Task action basis, actuator sign geometry, and controller-policy boundary.",Direction-specific action feasibility and its effect on manipulation primitive choice.,Broad claim that robustness is important.,Explicit actuator-asymmetry structure inside the manipulation policy.,"The mechatronic design of robotic hands is a very complex task, which involves different aspects of mechanics, actuation, and control. In most of cases inspiration is taken by the human hand, which is able to grasp and manipulate objects with different sizes and shapes, but its functionality and versatility are very difficult to mimic. Human hand strength and dexterity involve a complex geometry of cantilevered joints, ligaments, and musculotendinous elements that must be analyzed as a coordinated entity. Furthermore, actuation redundancy of mu"
170,landscape_1000;serious_skim_300;deep_read_240,,Fuzzy Fault-Tolerant Control Applied on Two Inverted Pendulums with Nonaffine Nonlinear Actuator Failures,2023,International Journal of Robotics and Control Systems,Abdelhamid Bounemeur; Mohamed Chemachema; Salah Bouzina,https://doi.org/10.31763/ijrcs.v3i2.917,https://doi.org/10.31763/ijrcs.v3i2.917,https://openalex.org/W4362695220,26,robot manipulator actuator fault tolerant control,35.130,"Keep robot performance acceptable when actuators, sensors, or joints fail or degrade.","Fault-tolerant or adaptive control, usually with residual generation, reconfiguration, or robust feedback.",Faults are detectable or slowly varying; compensation can happen after diagnosis; task policy need not expose signed actuator geometry.,"Contact mode, actuator sign structure, nominal task decomposition, and often the reachable action set.","Sign-direction weakness before a hard fault, branch/contact choices that would avoid weak directions, and policy bias from asymmetric saturation.",General claim that actuator nonidealities matter for robot control.,How manipulation policy structure should change when positive and negative actuation are unequal but not failed.,"This paper deals with the problem of fault-tolerant control for a class of perturbed nonlinear systems with nonlinear non-affine actuator faults. Fuzzy systems are integrated into the design of the control law to get rid of the system nonlinearities and the considered actuator faults. Two adaptive controllers are proposed in order to reach the control objective and ensure stability. The first term is an adaptive controller involved to mollify the system uncertainties and the considered actuator faults. Therefore, the second term is known as a r"
